Artist,Artist_URL,Result
BCR Meezle,https://en.wikipedia.org/wiki/BCR_Meezle,404
BDK Kevo,https://en.wikipedia.org/wiki/BDK_Kevo,404
Bender,https://en.wikipedia.org/wiki/Bender,200
BG,https://en.wikipedia.org/wiki/BG,200
B.G. Gator ,https://en.wikipedia.org/wiki/B.G._Gator_,404
BG Kenny Lou,https://en.wikipedia.org/wiki/BG_Kenny_Lou,404
BG Scarface ,https://en.wikipedia.org/wiki/BG_Scarface_,404
Bibby,https://en.wikipedia.org/wiki/Bibby,200
Big A ,https://en.wikipedia.org/wiki/Big_A_,200
Big Bad Ace ,https://en.wikipedia.org/wiki/Big_Bad_Ace_,404
Big Bank Hunk,https://en.wikipedia.org/wiki/Big_Bank_Hunk,404
Big Booda,https://en.wikipedia.org/wiki/Big_Booda,404
Big Boss,https://en.wikipedia.org/wiki/Big_Boss,200
Big Buckz Eloo,https://en.wikipedia.org/wiki/Big_Buckz_Eloo,404
Big Cholo,https://en.wikipedia.org/wiki/Big_Cholo,404
Big DS ,https://en.wikipedia.org/wiki/Big_DS_,200
Big Duce,https://en.wikipedia.org/wiki/Big_Duce,404
Big Ed The Assassin ,https://en.wikipedia.org/wiki/Big_Ed_The_Assassin_,404
Big Freaky,https://en.wikipedia.org/wiki/Big_Freaky,404
,https://en.wikipedia.org/wiki/,200
Big Freeze ,https://en.wikipedia.org/wiki/Big_Freeze_,200
Big Hawk,https://en.wikipedia.org/wiki/Big_Hawk,200
,https://en.wikipedia.org/wiki/,200
Big Juice ,https://en.wikipedia.org/wiki/Big_Juice_,200
Big Kap,https://en.wikipedia.org/wiki/Big_Kap,200
Big Krucial,https://en.wikipedia.org/wiki/Big_Krucial,404
Big L ,https://en.wikipedia.org/wiki/Big_L_,200
Big Lonnie ,https://en.wikipedia.org/wiki/Big_Lonnie_,404
Big Lyl,https://en.wikipedia.org/wiki/Big_Lyl,404
Big Mello ,https://en.wikipedia.org/wiki/Big_Mello_,200
Big Moe ,https://en.wikipedia.org/wiki/Big_Moe_,200
Big Pun,https://en.wikipedia.org/wiki/Big_Pun,200
Big Rue ,https://en.wikipedia.org/wiki/Big_Rue_,404
Big Steve ,https://en.wikipedia.org/wiki/Big_Steve_,404
Big Syke,https://en.wikipedia.org/wiki/Big_Syke,200
Big T ,https://en.wikipedia.org/wiki/Big_T_,200
Big-T,https://en.wikipedia.org/wiki/Big-T,404
,https://en.wikipedia.org/wiki/,200
BigBossSavageTinka,https://en.wikipedia.org/wiki/BigBossSavageTinka,404
BigBuckzEloo,https://en.wikipedia.org/wiki/BigBuckzEloo,404
Bigg Jake,https://en.wikipedia.org/wiki/Bigg_Jake,404
Bigga B ,https://en.wikipedia.org/wiki/Bigga_B_,404
Biglo,https://en.wikipedia.org/wiki/Biglo,404
Billboard,https://en.wikipedia.org/wiki/Billboard,200
Billion Dollar BD,https://en.wikipedia.org/wiki/Billion_Dollar_BD,404
Billy Ray Robles,https://en.wikipedia.org/wiki/Billy_Ray_Robles,404
Billy Tha Kidd,https://en.wikipedia.org/wiki/Billy_Tha_Kidd,404
Bird ,https://en.wikipedia.org/wiki/Bird_,200
Bis ,https://en.wikipedia.org/wiki/Bis_,200
Biz Markie,https://en.wikipedia.org/wiki/Biz_Markie,200
Bizzie Gambino,https://en.wikipedia.org/wiki/Bizzie_Gambino,404
BlacOwt,https://en.wikipedia.org/wiki/BlacOwt,404
Black Cop,https://en.wikipedia.org/wiki/Black_Cop,200
Black Rob,https://en.wikipedia.org/wiki/Black_Rob,200
Black Da Runna,https://en.wikipedia.org/wiki/Black_Da_Runna,404
Black Jezuss,https://en.wikipedia.org/wiki/Black_Jezuss,404
Black The Ripper,https://en.wikipedia.org/wiki/Black_The_Ripper,200
Blackie fontana,https://en.wikipedia.org/wiki/Blackie_fontana,404
Blade Icewood,https://en.wikipedia.org/wiki/Blade_Icewood,200
Blaza Da Beat Contractor,https://en.wikipedia.org/wiki/Blaza_Da_Beat_Contractor,404
Bleak Purdy,https://en.wikipedia.org/wiki/Bleak_Purdy,404
Bleeky Billions,https://en.wikipedia.org/wiki/Bleeky_Billions,404
Blenda Boy Boo,https://en.wikipedia.org/wiki/Blenda_Boy_Boo,404
Blessed The MC,https://en.wikipedia.org/wiki/Blessed_The_MC,404
Blitz,https://en.wikipedia.org/wiki/Blitz,200
Blocck Boy,https://en.wikipedia.org/wiki/Blocck_Boy,404
Blockstar Ree,https://en.wikipedia.org/wiki/Blockstar_Ree,404
Blood Money ,https://en.wikipedia.org/wiki/Blood_Money_,200
Bloodshed,https://en.wikipedia.org/wiki/Bloodshed,200
Bloody Mary,https://en.wikipedia.org/wiki/Bloody_Mary,200
Blu Crush,https://en.wikipedia.org/wiki/Blu_Crush,404
Blvd Quick,https://en.wikipedia.org/wiki/Blvd_Quick,404
Bone Skanless,https://en.wikipedia.org/wiki/Bone_Skanless,404
Boog the Bandit,https://en.wikipedia.org/wiki/Boog_the_Bandit,404
Boom ,https://en.wikipedia.org/wiki/Boom_,200
Boonk 82,https://en.wikipedia.org/wiki/Boonk_82,404
Boosa Da Shoota,https://en.wikipedia.org/wiki/Boosa_Da_Shoota,404
Boostin Kev,https://en.wikipedia.org/wiki/Boostin_Kev,404
Bornthurl Leeskie,https://en.wikipedia.org/wiki/Bornthurl_Leeskie,404
Boss Ceejay,https://en.wikipedia.org/wiki/Boss_Ceejay,404
Boss Goon,https://en.wikipedia.org/wiki/Boss_Goon,404
Boss Rell,https://en.wikipedia.org/wiki/Boss_Rell,404
Boss Smooth,https://en.wikipedia.org/wiki/Boss_Smooth,404
BoutaDollarButta,https://en.wikipedia.org/wiki/BoutaDollarButta,404
Box Carlito,https://en.wikipedia.org/wiki/Box_Carlito,404
Brandon Denson,https://en.wikipedia.org/wiki/Brandon_Denson,200
Brandon Mitchell ,https://en.wikipedia.org/wiki/Brandon_Mitchell_,200
BRAX,https://en.wikipedia.org/wiki/BRAX,404
Brian Christopher Smith ,https://en.wikipedia.org/wiki/Brian_Christopher_Smith_,404
Bris,https://en.wikipedia.org/wiki/Bris,200
Brooklyn,https://en.wikipedia.org/wiki/Brooklyn,200
,https://en.wikipedia.org/wiki/,200
BSB Banga,https://en.wikipedia.org/wiki/BSB_Banga,404
BTY Young'N,https://en.wikipedia.org/wiki/BTY_Young'N,404
Bucho,https://en.wikipedia.org/wiki/Bucho,200
Buffy ,https://en.wikipedia.org/wiki/Buffy_,200
Bugz ,https://en.wikipedia.org/wiki/Bugz_,200
Bushwick Bill ,https://en.wikipedia.org/wiki/Bushwick_Bill_,200
Butta B,https://en.wikipedia.org/wiki/Butta_B,404
Bvlly,https://en.wikipedia.org/wiki/Bvlly,200
C,https://en.wikipedia.org/wiki/C,200
C-9,https://en.wikipedia.org/wiki/C-9,200
C-LOC,https://en.wikipedia.org/wiki/C-LOC,404
C-Sick,https://en.wikipedia.org/wiki/C-Sick,200
C Struggs,https://en.wikipedia.org/wiki/C_Struggs,404
C Wit Dat,https://en.wikipedia.org/wiki/C_Wit_Dat,404
Cadet ,https://en.wikipedia.org/wiki/Cadet_,200
Cahron Childs,https://en.wikipedia.org/wiki/Cahron_Childs,404
,https://en.wikipedia.org/wiki/,200
Cal Vin,https://en.wikipedia.org/wiki/Cal_Vin,404
Caleb Sims,https://en.wikipedia.org/wiki/Caleb_Sims,404
Cam Coldheart,https://en.wikipedia.org/wiki/Cam_Coldheart,404
Cameey,https://en.wikipedia.org/wiki/Cameey,404
Camoflauge,https://en.wikipedia.org/wiki/Camoflauge,200
Camu Tao,https://en.wikipedia.org/wiki/Camu_Tao,200
Capital STEEZ ,https://en.wikipedia.org/wiki/Capital_STEEZ_,200
Capo ,https://en.wikipedia.org/wiki/Capo_,200
The Captain,https://en.wikipedia.org/wiki/The_Captain,200
Carlito,https://en.wikipedia.org/wiki/Carlito,200
CAS ,https://en.wikipedia.org/wiki/CAS_,200
Ca$h,https://en.wikipedia.org/wiki/Ca$h,200
Cash Flow ,https://en.wikipedia.org/wiki/Cash_Flow_,200
Castro the Destroyer,https://en.wikipedia.org/wiki/Castro_the_Destroyer,404
Caviar,https://en.wikipedia.org/wiki/Caviar,200
CBE Chelaka,https://en.wikipedia.org/wiki/CBE_Chelaka,404
Ceo Bezzal,https://en.wikipedia.org/wiki/Ceo_Bezzal,404
Ceo Los,https://en.wikipedia.org/wiki/Ceo_Los,404
Chaos Kid ,https://en.wikipedia.org/wiki/Chaos_Kid_,404
Channel 5 Jdub,https://en.wikipedia.org/wiki/Channel_5_Jdub,404
Charizma,https://en.wikipedia.org/wiki/Charizma,200
Chester Bennington ,https://en.wikipedia.org/wiki/Chester_Bennington_,200
Chief Ano,https://en.wikipedia.org/wiki/Chief_Ano,404
Chinx Drugz,https://en.wikipedia.org/wiki/Chinx_Drugz,200
Chip Banks,https://en.wikipedia.org/wiki/Chip_Banks,200
ChocoGB,https://en.wikipedia.org/wiki/ChocoGB,404
Choky,https://en.wikipedia.org/wiki/Choky,404
Choppa T,https://en.wikipedia.org/wiki/Choppa_T,404
"Chris ""Mac Daddy"" Kelly ","https://en.wikipedia.org/wiki/Chris_""Mac_Daddy""_Kelly_",200
Chris Lighty ,https://en.wikipedia.org/wiki/Chris_Lighty_,200
Chrish P,https://en.wikipedia.org/wiki/Chrish_P,404
Christopher Polk,https://en.wikipedia.org/wiki/Christopher_Polk,404
Chuck Taylord,https://en.wikipedia.org/wiki/Chuck_Taylord,404
Chucky Trill,https://en.wikipedia.org/wiki/Chucky_Trill,404
Chynna,https://en.wikipedia.org/wiki/Chynna,200
Chyskillz,https://en.wikipedia.org/wiki/Chyskillz,200
City Stylez,https://en.wikipedia.org/wiki/City_Stylez,404
C'Jaay,https://en.wikipedia.org/wiki/C'Jaay,404
Cloudy Nueve,https://en.wikipedia.org/wiki/Cloudy_Nueve,404
Clyde Bazile Jr. ,https://en.wikipedia.org/wiki/Clyde_Bazile_Jr._,404
CMK Chino,https://en.wikipedia.org/wiki/CMK_Chino,404
Cold Kase,https://en.wikipedia.org/wiki/Cold_Kase,404
Contraband Twu,https://en.wikipedia.org/wiki/Contraband_Twu,404
Cooley03,https://en.wikipedia.org/wiki/Cooley03,404
Cornbread ,https://en.wikipedia.org/wiki/Cornbread_,200
Cougnut ,https://en.wikipedia.org/wiki/Cougnut_,200
Cowboy ,https://en.wikipedia.org/wiki/Cowboy_,200
Craig Mack,https://en.wikipedia.org/wiki/Craig_Mack,200
Crazy Lu,https://en.wikipedia.org/wiki/Crazy_Lu,404
CreepyFace ,https://en.wikipedia.org/wiki/CreepyFace_,404
Crip Inch ,https://en.wikipedia.org/wiki/Crip_Inch_,404
Cruddy Ahk,https://en.wikipedia.org/wiki/Cruddy_Ahk,404
Cutty Banks,https://en.wikipedia.org/wiki/Cutty_Banks,404
Cutty Cartel,https://en.wikipedia.org/wiki/Cutty_Cartel,404
D,https://en.wikipedia.org/wiki/D,200
D-Boy Rodriguez,https://en.wikipedia.org/wiki/D-Boy_Rodriguez,404
D-Drew,https://en.wikipedia.org/wiki/D-Drew,404
D-Mack,https://en.wikipedia.org/wiki/D-Mack,404
D-Pac ,https://en.wikipedia.org/wiki/D-Pac_,404
D-Thang ,https://en.wikipedia.org/wiki/D-Thang_,404
D4M Skiano,https://en.wikipedia.org/wiki/D4M_Skiano,404
Da Real Gee Money,https://en.wikipedia.org/wiki/Da_Real_Gee_Money,404
Dai Dai,https://en.wikipedia.org/wiki/Dai_Dai,404
The Dangla,https://en.wikipedia.org/wiki/The_Dangla,404
Darren Robinson ,https://en.wikipedia.org/wiki/Darren_Robinson_,200
Dat Boy Grace,https://en.wikipedia.org/wiki/Dat_Boy_Grace,404
DBG CeJay,https://en.wikipedia.org/wiki/DBG_CeJay,404
DBG Doeskii,https://en.wikipedia.org/wiki/DBG_Doeskii,404
DeBenz,https://en.wikipedia.org/wiki/DeBenz,404
DeckBoi Sneeg,https://en.wikipedia.org/wiki/DeckBoi_Sneeg,404
Dee Dave,https://en.wikipedia.org/wiki/Dee_Dave,404
Dee Lee,https://en.wikipedia.org/wiki/Dee_Lee,404
Deezer D,https://en.wikipedia.org/wiki/Deezer_D,200
Demonbaby GG,https://en.wikipedia.org/wiki/Demonbaby_GG,404
Derek B,https://en.wikipedia.org/wiki/Derek_B,200
Deso Dogg,https://en.wikipedia.org/wiki/Deso_Dogg,200
Desto,https://en.wikipedia.org/wiki/Desto,200
Detsl,https://en.wikipedia.org/wiki/Detsl,200
Dex Osama,https://en.wikipedia.org/wiki/Dex_Osama,404
DG Byrd,https://en.wikipedia.org/wiki/DG_Byrd,404
Dion Stewart ,https://en.wikipedia.org/wiki/Dion_Stewart_,404
Dirty Mike,https://en.wikipedia.org/wiki/Dirty_Mike,200
Dirty Redd,https://en.wikipedia.org/wiki/Dirty_Redd,404
DJ AM,https://en.wikipedia.org/wiki/DJ_AM,200
DJ Black N Mild,https://en.wikipedia.org/wiki/DJ_Black_N_Mild,404
DJ Cameron Paul,https://en.wikipedia.org/wiki/DJ_Cameron_Paul,404
DJ Co V Co ,https://en.wikipedia.org/wiki/DJ_Co_V_Co_,404
DJ Crazy Rak ,https://en.wikipedia.org/wiki/DJ_Crazy_Rak_,404
DJ Crazy Toones,https://en.wikipedia.org/wiki/DJ_Crazy_Toones,200
DJ Daryll C ,https://en.wikipedia.org/wiki/DJ_Daryll_C_,404
DJ Devastate,https://en.wikipedia.org/wiki/DJ_Devastate,404
DJ E-Z Rock ,https://en.wikipedia.org/wiki/DJ_E-Z_Rock_,200
DJ Genius,https://en.wikipedia.org/wiki/DJ_Genius,404
DJ Junebug,https://en.wikipedia.org/wiki/DJ_Junebug,404
DJ Kaos ,https://en.wikipedia.org/wiki/DJ_Kaos_,200
DJ King,https://en.wikipedia.org/wiki/DJ_King,200
DJ Mehdi,https://en.wikipedia.org/wiki/DJ_Mehdi,200
DJ Michael Price ,https://en.wikipedia.org/wiki/DJ_Michael_Price_,404
DJ Nando,https://en.wikipedia.org/wiki/DJ_Nando,404
DJ Official,https://en.wikipedia.org/wiki/DJ_Official,200
DJ Omega Supreme,https://en.wikipedia.org/wiki/DJ_Omega_Supreme,404
DJ Ready Red ,https://en.wikipedia.org/wiki/DJ_Ready_Red_,200
DJ Rob One,https://en.wikipedia.org/wiki/DJ_Rob_One,404
DJ Screw,https://en.wikipedia.org/wiki/DJ_Screw,200
DJ Shay,https://en.wikipedia.org/wiki/DJ_Shay,404
DJ Speakerfoxxx,https://en.wikipedia.org/wiki/DJ_Speakerfoxxx,404
DJ Spinbad,https://en.wikipedia.org/wiki/DJ_Spinbad,200
DJ Subroc ,https://en.wikipedia.org/wiki/DJ_Subroc_,200
DJ Train,https://en.wikipedia.org/wiki/DJ_Train,200
DJ Uncle Al,https://en.wikipedia.org/wiki/DJ_Uncle_Al,200
DJ Wen,https://en.wikipedia.org/wiki/DJ_Wen,404
DMX,https://en.wikipedia.org/wiki/DMX,200
,https://en.wikipedia.org/wiki/,200
D.O. Cannon,https://en.wikipedia.org/wiki/D.O._Cannon,404
Doc Doom,https://en.wikipedia.org/wiki/Doc_Doom,200
Doe B ,https://en.wikipedia.org/wiki/Doe_B_,200
Dolla ,https://en.wikipedia.org/wiki/Dolla_,200
Dominic ,https://en.wikipedia.org/wiki/Dominic_,200
Domo,https://en.wikipedia.org/wiki/Domo,200
Domo Brown,https://en.wikipedia.org/wiki/Domo_Brown,404
Don Bino,https://en.wikipedia.org/wiki/Don_Bino,404
Don Darius ,https://en.wikipedia.org/wiki/Don_Darius_,404
Donkey Cartel ,https://en.wikipedia.org/wiki/Donkey_Cartel_,404
Dolce Drako,https://en.wikipedia.org/wiki/Dolce_Drako,404
Dooda,https://en.wikipedia.org/wiki/Dooda,404
Dooski Tha Man ,https://en.wikipedia.org/wiki/Dooski_Tha_Man_,404
Dopeboy E,https://en.wikipedia.org/wiki/Dopeboy_E,404
DopeBoy YungN,https://en.wikipedia.org/wiki/DopeBoy_YungN,404
Double Crossa,https://en.wikipedia.org/wiki/Double_Crossa,404
Double D,https://en.wikipedia.org/wiki/Double_D,200
Double K,https://en.wikipedia.org/wiki/Double_K,200
Double M,https://en.wikipedia.org/wiki/Double_M,200
Dough Boy,https://en.wikipedia.org/wiki/Dough_Boy,200
Downtown Darrio,https://en.wikipedia.org/wiki/Downtown_Darrio,404
Draco DaDemon,https://en.wikipedia.org/wiki/Draco_DaDemon,404
DTA DooDat,https://en.wikipedia.org/wiki/DTA_DooDat,404
DTrav,https://en.wikipedia.org/wiki/DTrav,404
Dubz,https://en.wikipedia.org/wiki/Dubz,404
Dun D,https://en.wikipedia.org/wiki/Dun_D,404
Duke Boote,https://en.wikipedia.org/wiki/Duke_Boote,404
Duttch Mastah,https://en.wikipedia.org/wiki/Duttch_Mastah,404
dylann angercar,https://en.wikipedia.org/wiki/dylann_angercar,404
E,https://en.wikipedia.org/wiki/E,200
E-Dubble ,https://en.wikipedia.org/wiki/E-Dubble_,200
E-Money Bags,https://en.wikipedia.org/wiki/E-Money_Bags,404
Eazy-E ,https://en.wikipedia.org/wiki/Eazy-E_,200
,https://en.wikipedia.org/wiki/,200
Eazy Tarentino,https://en.wikipedia.org/wiki/Eazy_Tarentino,404
EBN Roo,https://en.wikipedia.org/wiki/EBN_Roo,404
EBoi ,https://en.wikipedia.org/wiki/EBoi_,404
Ecstasy,https://en.wikipedia.org/wiki/Ecstasy,200
,https://en.wikipedia.org/wiki/,200
Edai 600,https://en.wikipedia.org/wiki/Edai_600,404
El Dreamer,https://en.wikipedia.org/wiki/El_Dreamer,404
Element of Music,https://en.wikipedia.org/wiki/Element_of_Music,404
Ello Da Don,https://en.wikipedia.org/wiki/Ello_Da_Don,404
Elmii Problema,https://en.wikipedia.org/wiki/Elmii_Problema,404
Elzo Bandz,https://en.wikipedia.org/wiki/Elzo_Bandz,404
Emanuel Dean ,https://en.wikipedia.org/wiki/Emanuel_Dean_,404
EMG Santana,https://en.wikipedia.org/wiki/EMG_Santana,404
